TAB, POD,Timp    ,alt       ,ssc_lat,ssc_lon,v    ,pth    ,az     ,pt1_lat,pt1_lon,pt1_srange,pt2_lat,pt2_lon,pt2_srange,p18_lat,p18_lon,p18_srange
164, 334, 181.694, 414.46487, -8.287,-25.635,2.398,-67.483,115.634,-10.760,-20.310, 458.30199,-11.503,-21.920, 445.80147,-11.439,-18.680, 486.14408
165, 336, 176.574, 403.11554, -8.342,-25.521,2.403,-67.405,115.615,-10.753,-20.323, 445.80620,-11.483,-21.876, 433.83040,-11.420,-18.723, 473.09531
166, 338, 171.455, 391.74890, -8.397,-25.405,2.408,-67.327,115.596,-10.747,-20.336, 433.28855,-11.463,-21.833, 421.82981,-11.402,-18.767, 460.01331
167, 340, 166.335, 380.36456, -8.452,-25.287,2.413,-67.248,115.577,-10.741,-20.349, 420.74863,-11.442,-21.790, 409.80038,-11.383,-18.811, 446.90014
168, 342, 161.215, 368.96246, -8.508,-25.169,2.418,-67.169,115.558,-10.735,-20.362, 408.18615,-11.421,-21.747, 397.74097,-11.364,-18.856, 433.75371
169, 344, 156.095, 357.54239, -8.565,-25.049,2.423,-67.088,115.538,-10.730,-20.374, 395.60100,-11.400,-21.704, 385.65058,-11.344,-18.901, 420.57249
170, 346, 150.975, 346.10416, -8.622,-24.927,2.429,-67.007,115.519,-10.724,-20.386, 382.99288,-11.380,-21.661, 373.53341,-11.325,-18.947, 407.35994
171, 348, 145.855, 334.64804, -8.680,-24.805,2.434,-66.925,115.498,-10.719,-20.398, 370.36213,-11.359,-21.619, 361.38577,-11.306,-18.994, 394.11306
172, 350, 140.735, 323.17313, -8.739,-24.680,2.440,-66.842,115.478,-10.713,-20.409, 357.70761,-11.338,-21.578, 349.20524,-11.287,-19.041, 380.82957
173, 352, 135.615, 311.68002, -8.798,-24.555,2.445,-66.758,115.457,-10.708,-20.421, 345.03008,-11.317,-21.536, 336.98808,-11.267,-19.088, 367.50418
174, 354, 130.495, 300.16817, -8.858,-24.428,2.451,-66.673,115.435,-10.703,-20.432, 332.32876,-11.295,-21.496, 324.73716,-11.247,-19.137, 354.14127
175, 356, 125.375, 288.63753, -8.918,-24.299,2.456,-66.588,115.414,-10.698,-20.442, 319.60369,-11.272,-21.455, 312.45298,-11.226,-19.186, 340.74168
176, 358, 120.256, 277.08810, -8.979,-24.169,2.462,-66.501,115.392,-10.693,-20.453, 306.85482,-11.250,-21.415, 300.13375,-11.205,-19.236, 327.29999
177, 360, 115.136, 265.51961, -9.041,-24.037,2.468,-66.414,115.369,-10.688,-20.463, 294.08172,-11.228,-21.376, 287.78036,-11.185,-19.286, 313.82085
178, 362, 110.016, 253.93182, -9.103,-23.904,2.473,-66.325,115.347,-10.684,-20.473, 281.28413,-11.205,-21.337, 275.39251,-11.163,-19.337, 300.30426
179, 364, 104.896, 242.32491, -9.166,-23.769,2.479,-66.236,115.324,-10.679,-20.482, 268.46227,-11.182,-21.298, 262.96795,-11.142,-19.389, 286.74552
180, 366,  99.776, 230.69823, -9.230,-23.633,2.485,-66.146,115.300,-10.675,-20.491, 255.61538,-11.158,-21.260, 250.50804,-11.120,-19.442, 273.14873
181, 368,  94.656, 219.05190, -9.294,-23.495,2.491,-66.054,115.276,-10.671,-20.500, 242.74345,-11.135,-21.222, 238.01265,-11.098,-19.495, 259.51376
182, 370,  89.536, 207.38576, -9.359,-23.355,2.497,-65.962,115.252,-10.667,-20.509, 229.84639,-11.111,-21.185, 225.48198,-11.076,-19.549, 245.83973
183, 372,  84.416, 195.69992, -9.425,-23.213,2.503,-65.869,115.227,-10.663,-20.517, 216.92419,-11.087,-21.147, 212.91505,-11.054,-19.603, 232.12705
184, 374,  79.296, 183.99377, -9.492,-23.070,2.509,-65.774,115.201,-10.659,-20.525, 203.97622,-11.062,-21.111, 200.31012,-11.031,-19.658, 218.37337
185, 376,  74.176, 172.26740, -9.559,-22.924,2.516,-65.679,115.176,-10.656,-20.532, 191.00240,-11.037,-21.075, 187.66298,-11.008,-19.714, 204.57197
